"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
-0.854952367210925,-0.682680503326854,NA,0.797191877193504,1.19663448691554,0.826839751785645,NA,NA,1.38119537143136,1.10827809251434,1.31259618527912,1.66874751376081,0.739294094849213,1.35568452320184,-0.228208824575717,-0.33666741948512,-0.567196692526945,1.90916514209575,1.12259114435552,0.966905616851484,0.032459644453516,1.40671355511844
-0.0590757999629605,NA,NA,-0.774047329097956,NA,NA,-0.712816817101038,-0.749875340880077,-0.98079789735439,-0.923282425197165,-1.01651703598505,-0.959531139485126,NA,-1.06943873011015,-0.555491829496307,1.0654051988668,NA,0.0525426943354797,-1.19215850293579,NA,-0.828404191153547,-1.03509249191634
NA,NA,-0.166287586973193,-0.707436190676622,-0.978645612541941,-0.672865024616498,-0.653250145998535,-0.585132082873115,-0.560452922655804,-0.581980258221633,-0.544441738789223,-0.467396436986121,-0.63446617747653,NA,NA,0.78880115415264,-1.42824566362638,-0.731758176856297,-1.34625405226765,NA,0.334170777858729,NA
-0.34619912790776,-0.05370334336499,NA,-0.194138594606345,NA,NA,NA,NA,-0.0249449411904828,-0.170250659965435,NA,NA,-0.0888195475717855,NA,NA,NA,NA,NA,0.0796936823591979,-1.87769763333739,-1.29359606608074,NA
NA,NA,-1.01965391045054,NA,-0.43482558767757,-0.332881574046743,-0.273512617720079,-0.23748489274819,NA,NA,2.38701038264974,1.99409866933612,1.49336902694106,2.47472170394091,0.939797476768649,NA,NA,0.441807150919576,-0.151210582756579,NA,NA,-0.140624096053865
-0.642590615782092,-0.587972962054147,0.00503980555941847,5.23662833786239,5.81910469826268,NA,4.44714606715328,7.18633924562848,NA,NA,4.02312123606574,2.43529455454808,2.36067963365396,NA,NA,-3.04164838455699,1.79198777430643,-1.12908533730458,NA,NA,1.6839241451608,NA
-1.04161927116249,-0.648961689044264,-0.326253811808076,0.230997200612167,0.652814462051169,NA,NA,0.198371285915896,-0.0664036236265078,-0.121493207540358,NA,-0.179017003635285,-0.208276962556633,-0.0263788555318324,-0.337973272171935,-0.250128228732227,0.469830450824268,1.79632336273473,0.926406973804984,NA,-0.872073041798941,NA
-1.19649946804116,-0.571213427282378,-0.743616881431081,0.517033265597895,1.19663448691554,0.63418246312945,0.497131189668552,0.761352183357006,-0.0117011954123083,-0.0293957974041036,NA,NA,-0.204543918338356,NA,NA,-0.842588842348189,1.79275982271026,NA,2.56150699161559,2.05356874463448,0.587771340848425,1.79302877205074
1.17370798933392,0.0829410814541028,NA,-0.907269605940623,NA,-0.876855094958351,NA,NA,-1.08271715834295,-1.04246730890291,-1.07174880364814,-1.00307561232728,-1.04696756359608,NA,-0.725566413134403,2.42547072993017,-1.16685352872227,0.409267737561637,NA,-0.717356833071293,-1.9978771891498,-1.68046969512751
2.10142472417282,0.437059968828098,2.86099637030175,-0.709395341806661,-0.978645612541941,-0.635089085664303,-0.5750688901765,-0.548810734651108,NA,-0.66866017364399,-0.512136365250436,NA,NA,NA,NA,0.235822611649405,-0.295445427140971,NA,NA,NA,-0.185324621180659,NA
-0.806004156841404,-0.752952604855704,-0.15504937563583,-0.6114377853047,-0.43482558767757,NA,NA,-0.504706240381528,-1.03146962033175,-0.966622382908344,NA,-0.99075170491912,NA,-1.10417121292649,-0.551873221333795,NA,NA,0.0658903472650111,-0.783183411426829,-0.715159963485016,NA,NA
-0.945168778187389,-0.514181548456311,-0.225257457404254,-0.280341244328071,-0.162915575245385,-0.208220975504499,-0.143210524683354,-0.107765791955307,0.670639619680602,NA,NA,0.332014356889559,0.188047898617053,0.982310332926146,-0.390644124315175,0.287470669791052,NA,1.27224761156236,-0.14426599352413,NA,-0.818558591112956,NA
NA,-0.376462306708041,NA,NA,-0.706735600109756,-0.771082465892205,NA,-0.686312981491564,-0.579454818772316,-0.646990194788401,-0.45169405346819,-0.702372271568284,-0.71908184642413,-0.481880895800338,-0.50965612610448,0.643727497505881,-0.128438652797069,-1.17993268001857,NA,-0.398455180353563,-0.518977955958513,-0.408060209119626
